Plate,Time
Plate,Time
Plate,Confidence,Time
GGT 2148,83,2026-03-23 20:59:12
AFA 3915,82,2026-03-23 21:00:19
FYO 5042,76,2026-03-23 21:01:15
AFY 5042,76,2026-03-23 21:01:16
FYI 5042,75,2026-03-23 21:01:26
ACN 2064,70,2026-03-23 21:01:56
CHH 7064,70,2026-03-23 21:02:04
CHP 7064,71,2026-03-23 21:02:07
CHA 7064,72,2026-03-23 21:02:08
CHI 7064,72,2026-03-23 21:02:16
ACH 7064,72,2026-03-23 21:02:24
QCH 7064,72,2026-03-23 21:02:24
AEK 2330,80,2026-03-23 21:03:39
AEN 2330,80,2026-03-23 21:03:51
AEM 2330,80,2026-03-23 21:03:55
ADK 0072,81,2026-03-23 21:04:31
ADR 0072,82,2026-03-23 21:04:49
AGG 2148,84,2026-03-23 21:05:21
AGG 7148,84,2026-03-23 21:05:21
Plate,Confidence,Time
ABC 1234,69,2026-03-24 03:43:14
XYZ 5678,70,2026-03-24 03:46:29
GUG 5678,64,2026-03-24 03:46:51
XYL 5678,67,2026-03-24 03:47:04
TCO 5678,58,2026-03-24 03:47:48
KYL 5678,77,2026-03-24 03:48:34
ZVZ 5678,75,2026-03-24 03:49:01
SYZ 5678,75,2026-03-24 03:49:03
XVZ 5678,70,2026-03-24 03:49:31
YVZ 5678,70,2026-03-24 03:49:33
AUM 5678,76,2026-03-24 03:49:51
ZYZ 5678,64,2026-03-24 03:49:54
EVZ 5678,68,2026-03-24 03:50:00
AMU 5678,75,2026-03-24 03:50:06
RYZ 5678,69,2026-03-24 03:50:07
KVZ 5678,66,2026-03-24 03:50:15
RVZ 5678,65,2026-03-24 03:50:31
KYZ 5678,74,2026-03-24 03:51:04
MMU 5678,69,2026-03-24 03:51:10
MPS 3450,68,2026-03-24 03:51:57
ADE 3450,72,2026-03-24 03:51:59
KDE 3450,67,2026-03-24 03:52:07
VEE 3450,67,2026-03-24 03:52:44
AVE 3450,68,2026-03-24 03:52:47
ADF 3450,70,2026-03-24 03:52:49
ADC 3450,68,2026-03-24 03:52:51
ADL 3450,68,2026-03-24 03:52:55
AVL 3450,68,2026-03-24 03:53:01
JDF 3450,69,2026-03-24 03:53:11
AUE 3450,67,2026-03-24 03:53:46
CDE 3450,67,2026-03-24 03:53:48
DEE 3450,69,2026-03-24 03:53:50
DIE 3450,66,2026-03-24 03:53:59
APE 3450,65,2026-03-24 03:54:07
UPW 3450,63,2026-03-24 03:54:14
AVK 3450,68,2026-03-24 03:54:48
AVI 3450,69,2026-03-24 03:54:55
LVU 3450,76,2026-03-24 03:55:26
VIL 3452,77,2026-03-24 03:56:08
KMU 3451,49,2026-03-24 03:56:42
ADE 3451,75,2026-03-24 03:56:43
RUI 3450,49,2026-03-24 03:56:52
AWC 3450,31,2026-03-24 03:57:00
Plate,Confidence,Time
AGS 7148,81,2026-03-24 03:58:21
AGG 7188,81,2026-03-24 03:58:22
AGG 7148,82,2026-03-24 03:58:23
AGG 2148,82,2026-03-24 03:58:28
FGG 7148,81,2026-03-24 03:58:30
AGG 7168,81,2026-03-24 03:58:32
KKO 1149,75,2026-03-24 03:59:15
KOG 7180,74,2026-03-24 03:59:26
KCG 7160,75,2026-03-24 03:59:27
AGG 4762,75,2026-03-24 03:59:29
AGG 7165,76,2026-03-24 03:59:30
AGO 2140,75,2026-03-24 03:59:33
AGO 7119,75,2026-03-24 03:59:34
AOG 7169,77,2026-03-24 03:59:36
AOG 7129,77,2026-03-24 03:59:37
AGG 7169,75,2026-03-24 03:59:37
AOG 7128,80,2026-03-24 03:59:41
AGG 7140,79,2026-03-24 03:59:42
AGG 7128,82,2026-03-24 04:00:03
AGG 7149,83,2026-03-24 04:00:04
AGU 7149,78,2026-03-24 04:00:05
Plate,Confidence,Time
XYZ 5678,77,2026-03-24 04:01:10
ADE 3450,74,2026-03-24 04:01:11
ABC 1234,65,2026-03-24 04:01:11
IDE 3450,75,2026-03-24 04:03:23
ABC 1231,68,2026-03-24 04:03:25
ABC 1274,70,2026-03-24 04:03:35
XBC 1234,70,2026-03-24 04:03:40
BCP 1234,70,2026-03-24 04:03:43
Plate,Confidence,Time
Plate,Confidence,Time
ABC 1234,10,2026-03-24 04:22:23
Plate,Confidence,Time
AFA 3915,9,2026-03-24 04:26:41
Plate,Confidence,Time
Plate,Confidence,Time
AGG 7148,5,2026-03-24 08:40:24
